alpha,gamma,epsilon,episodes,rewards
1, 0.99, 0.9, 10000, 4
1, 0.99, 0.9, 50000, 0
1, 0.99, 0.9, 100000, 0
1, 0.99, 0.8, 10000, 10
1, 0.99, 0.8, 50000, 0
1, 0.99, 0.8, 100000, 0
1, 0.99, 0.7, 10000, 0
1, 0.99, 0.7, 50000, 0
1, 0.99, 0.7, 100000, 0
1, 0.99, 0.5, 10000, 0
1, 0.99, 0.5, 50000, 0
1, 0.99, 0.5, 100000, 0
1, 0.95, 0.9, 10000, 0
1, 0.95, 0.9, 50000, 0
1, 0.95, 0.9, 100000, 0
1, 0.95, 0.8, 10000, 15
1, 0.95, 0.8, 50000, 0
1, 0.95, 0.8, 100000, 0
1, 0.95, 0.7, 10000, 14
1, 0.95, 0.7, 50000, 0
1, 0.95, 0.7, 100000, 0
1, 0.95, 0.5, 10000, 12
1, 0.95, 0.5, 50000, 0
1, 0.95, 0.5, 100000, 0
1, 0.9, 0.9, 10000, 27
1, 0.9, 0.9, 50000, 0
1, 0.9, 0.9, 100000, 0
1, 0.9, 0.8, 10000, 17
1, 0.9, 0.8, 50000, 0
1, 0.9, 0.8, 100000, 0
1, 0.9, 0.7, 10000, 11
1, 0.9, 0.7, 50000, 0
1, 0.9, 0.7, 100000, 0
1, 0.9, 0.5, 10000, 64
1, 0.9, 0.5, 50000, 0
1, 0.9, 0.5, 100000, 0
1, 0.85, 0.9, 10000, 0
1, 0.85, 0.9, 50000, 0
1, 0.85, 0.9, 100000, 0
1, 0.85, 0.8, 10000, 0
1, 0.85, 0.8, 50000, 0
1, 0.85, 0.8, 100000, 0
1, 0.85, 0.7, 10000, 8
1, 0.85, 0.7, 50000, 0
1, 0.85, 0.7, 100000, 0
1, 0.85, 0.5, 10000, 0
1, 0.85, 0.5, 50000, 0
1, 0.85, 0.5, 100000, 0
1, 0.8, 0.9, 10000, 3
1, 0.8, 0.9, 50000, 0
1, 0.8, 0.9, 100000, 0
1, 0.8, 0.8, 10000, 21
1, 0.8, 0.8, 50000, 0
1, 0.8, 0.8, 100000, 0
1, 0.8, 0.7, 10000, 6
1, 0.8, 0.7, 50000, 0
1, 0.8, 0.7, 100000, 0
